subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,arrival_time
59,ghz,43,44,"{'measure': 43, 'cx': 42, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,46,"{'measure': 43, 'cx': 42, 'rz': 2, 'sx': 1, 'barrier': 1}",3540.4059511135965
59,random,21,220,"{'cx': 254, 'u2': 128, 'cu1': 95, 'u1': 67, 'h': 57, 'u3': 55, 'ry': 46, 'rx': 24, 'measure': 21, 'cry': 16, 't': 16, 'cu3': 16, 's': 15, 'rz': 15, 'cswap': 15, 'rzz': 14, 'ccx': 14, 'crx': 13, 'swap': 13, 'sx': 12, 'tdg': 12, 'p': 11, 'crz': 10, 'x': 10, 'cp': 10, 'cy': 9, 'ch': 8, 'sdg': 6, 'rxx': 6, 'cz': 5, 'z': 3, 'u': 2, 'sxdg': 2, 'y': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1689,"{'cx': 3031, 'rz': 1925, 'sx': 951, 'x': 87, 'measure': 21, 'barrier': 1}",127,1744,"{'cx': 3048, 'rz': 1860, 'sx': 904, 'x': 88, 'measure': 21, 'barrier': 1}",3540.5768012337044
59,su2random,18,74,"{'cx': 459, 'u3': 72, 'measure': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},27,379,"{'cx': 1121, 'rz': 412, 'sx': 310, 'measure': 18, 'x': 17, 'barrier': 1}",127,583,"{'cx': 1383, 'rz': 573, 'sx': 411, 'x': 40, 'measure': 18, 'barrier': 1}",3541.0392631478544
59,qft,10,21,"{'cp': 45, 'h': 10, 'measure': 10, 'swap': 5, 'barrier': 1}",-1,-1,{},16,214,"{'cx': 212, 'rz': 175, 'sx': 54, 'x': 11, 'measure': 10, 'barrier': 1}",27,196,"{'cx': 217, 'rz': 171, 'sx': 50, 'measure': 10, 'x': 9, 'barrier': 1}",127,183,"{'cx': 210, 'rz': 151, 'sx': 34, 'measure': 10, 'x': 6, 'barrier': 1}",3541.8158178614426
59,qnn,48,475,"{'cx': 4559, 'p': 2256, 'u2': 96, 'ry': 96, 'measure': 48, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1581,"{'cx': 9632, 'rz': 6393, 'sx': 3141, 'x': 120, 'measure': 48, 'barrier': 1}",3542.1197160714896
59,qftentangled,9,21,"{'cp': 36, 'h': 10, 'measure': 9, 'cx': 8, 'swap': 4, 'barrier': 1}",-1,-1,{},16,187,"{'cx': 196, 'rz': 124, 'sx': 26, 'measure': 9, 'x': 4, 'barrier': 1}",27,186,"{'cx': 176, 'rz': 147, 'sx': 50, 'x': 10, 'measure': 9, 'barrier': 1}",127,179,"{'cx': 175, 'rz': 151, 'sx': 54, 'x': 10, 'measure': 9, 'barrier': 1}",3542.2698783505207
59,qftentangled,45,93,"{'cp': 990, 'h': 46, 'measure': 45, 'cx': 44, 'swap': 22, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,954,"{'cx': 4515, 'rz': 2695, 'sx': 422, 'measure': 45, 'x': 43, 'barrier': 1}",3545.408791676216
59,qft,7,15,"{'cp': 21, 'h': 7, 'measure': 7, 'swap': 3, 'barrier': 1}",7,112,"{'cx': 93, 'rz': 75, 'sx': 19, 'measure': 7, 'x': 3, 'barrier': 1}",16,102,"{'cx': 98, 'rz': 72, 'sx': 15, 'measure': 7, 'x': 4, 'barrier': 1}",27,103,"{'cx': 98, 'rz': 74, 'sx': 15, 'measure': 7, 'x': 3, 'barrier': 1}",127,112,"{'cx': 93, 'rz': 75, 'sx': 19, 'measure': 7, 'x': 3, 'barrier': 1}",3548.4230121759824
59,qftentangled,22,47,"{'cp': 231, 'h': 23, 'measure': 22, 'cx': 21, 'swap': 11, 'barrier': 1}",-1,-1,{},-1,-1,{},27,441,"{'cx': 1173, 'rz': 857, 'sx': 187, 'x': 22, 'measure': 22, 'barrier': 1}",127,536,"{'cx': 1206, 'rz': 829, 'sx': 163, 'measure': 22, 'x': 20, 'barrier': 1}",3549.733856251929
59,qftentangled,34,71,"{'cp': 561, 'h': 35, 'measure': 34, 'cx': 33, 'swap': 17, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1049,"{'cx': 2779, 'rz': 1839, 'sx': 451, 'x': 57, 'measure': 34, 'barrier': 1}",3550.396801643739
59,realamprandom,46,186,"{'cx': 3105, 'ry': 184, 'measure': 46, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2410,"{'cx': 10301, 'rz': 4537, 'sx': 2776, 'x': 312, 'measure': 46, 'barrier': 1}",3552.159227088212
59,qpeinexact,45,134,"{'cp': 990, 'h': 88, 'measure': 44, 'swap': 22, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1730,"{'cx': 5127, 'rz': 3447, 'sx': 1080, 'x': 102, 'measure': 44, 'barrier': 1}",3552.534925139919
59,random,27,320,"{'cx': 465, 'u2': 212, 'cu1': 146, 'u1': 145, 'h': 98, 'u3': 96, 'ry': 76, 's': 29, 'cu3': 28, 'measure': 27, 't': 25, 'tdg': 24, 'ccx': 24, 'cry': 22, 'rx': 21, 'rzz': 21, 'cswap': 20, 'sx': 19, 'cp': 19, 'swap': 17, 'ch': 15, 'cy': 15, 'crx': 14, 'rz': 14, 'crz': 14, 'x': 13, 'rxx': 12, 'cz': 9, 'p': 8, 'z': 7, 'sxdg': 5, 'y': 3, 'sdg': 2, 'u': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,2477,"{'cx': 5795, 'rz': 2945, 'sx': 1423, 'x': 124, 'measure': 27, 'barrier': 1}",127,2679,"{'cx': 5901, 'rz': 3007, 'sx': 1462, 'x': 133, 'measure': 27, 'barrier': 1}",3552.7707856912666
59,dj,21,23,"{'u2': 21, 'h': 20, 'cx': 20, 'measure': 20, 'barrier': 1}",-1,-1,{},-1,-1,{},27,89,"{'rz': 86, 'cx': 51, 'sx': 48, 'measure': 20, 'x': 4, 'barrier': 1}",127,78,"{'rz': 74, 'cx': 50, 'sx': 42, 'measure': 20, 'x': 1, 'barrier': 1}",3554.7655324539223
59,dj,43,45,"{'u2': 43, 'h': 42, 'cx': 42, 'measure': 42, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,183,"{'rz': 160, 'cx': 143, 'sx': 88, 'measure': 42, 'x': 8, 'barrier': 1}",3556.3976794333134
59,qnn,14,135,"{'cx': 377, 'p': 182, 'u2': 28, 'ry': 28, 'measure': 14, 'barrier': 1}",-1,-1,{},16,458,"{'cx': 770, 'rz': 522, 'sx': 221, 'x': 35, 'measure': 14, 'barrier': 1}",27,505,"{'cx': 794, 'rz': 482, 'sx': 193, 'x': 35, 'measure': 14, 'barrier': 1}",127,467,"{'cx': 742, 'rz': 572, 'sx': 260, 'x': 38, 'measure': 14, 'barrier': 1}",3558.1592243980535
59,qpeinexact,4,11,"{'h': 6, 'cp': 6, 'measure': 3, 'x': 1, 'swap': 1, 'barrier': 1}",7,39,"{'rz': 28, 'cx': 19, 'sx': 10, 'measure': 3, 'x': 2, 'barrier': 1}",16,39,"{'rz': 28, 'cx': 19, 'sx': 10, 'measure': 3, 'x': 2, 'barrier': 1}",27,38,"{'rz': 24, 'cx': 21, 'sx': 6, 'measure': 3, 'x': 1, 'barrier': 1}",127,42,"{'rz': 30, 'cx': 19, 'sx': 10, 'measure': 3, 'x': 2, 'barrier': 1}",3558.3710807625516
59,random,13,141,"{'cx': 114, 'u2': 59, 'u1': 37, 'cu1': 35, 'h': 32, 'ry': 26, 'u3': 25, 'measure': 13, 'rx': 10, 'rz': 8, 'rzz': 7, 'sx': 6, 's': 6, 'cu3': 6, 'ccx': 6, 'tdg': 5, 'crz': 5, 'sdg': 4, 'p': 4, 'crx': 3, 'cry': 3, 'x': 3, 'ch': 3, 'cp': 3, 'rxx': 3, 'swap': 3, 't': 2, 'cswap': 2, 'cz': 2, 'u': 2, 'z': 1, 'sxdg': 1, 'cy': 1, 'y': 1, 'barrier': 1}",-1,-1,{},16,562,"{'cx': 796, 'rz': 672, 'sx': 339, 'x': 38, 'measure': 13, 'barrier': 1}",27,563,"{'cx': 765, 'rz': 699, 'sx': 360, 'x': 36, 'measure': 13, 'barrier': 1}",127,602,"{'cx': 811, 'rz': 675, 'sx': 329, 'x': 37, 'measure': 13, 'barrier': 1}",3559.4769374632247
59,qpeexact,3,7,"{'h': 4, 'cp': 2, 'measure': 2, 'x': 1, 'swap': 1, 'barrier': 1}",7,20,"{'rz': 14, 'sx': 8, 'cx': 4, 'measure': 2, 'x': 1, 'barrier': 1}",16,16,"{'rz': 15, 'sx': 8, 'cx': 4, 'measure': 2, 'x': 1, 'barrier': 1}",27,21,"{'rz': 15, 'sx': 8, 'cx': 4, 'x': 2, 'measure': 2, 'barrier': 1}",127,16,"{'rz': 15, 'sx': 8, 'cx': 4, 'measure': 2, 'x': 1, 'barrier': 1}",3559.5566213517236
59,dj,37,39,"{'h': 40, 'cx': 36, 'measure': 36, 'u2': 33, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,158,"{'rz': 138, 'cx': 126, 'sx': 76, 'measure': 36, 'x': 3, 'barrier': 1}",3563.968426088731
59,qnn,6,55,"{'cx': 65, 'p': 30, 'u2': 12, 'ry': 12, 'measure': 6, 'barrier': 1}",7,161,"{'cx': 132, 'rz': 86, 'sx': 44, 'measure': 6, 'barrier': 1}",16,175,"{'cx': 124, 'rz': 119, 'sx': 60, 'x': 8, 'measure': 6, 'barrier': 1}",27,159,"{'cx': 125, 'rz': 89, 'sx': 44, 'measure': 6, 'barrier': 1}",127,158,"{'cx': 125, 'rz': 88, 'sx': 44, 'measure': 6, 'barrier': 1}",3564.2113500247506
59,ghz,23,24,"{'measure': 23, 'cx': 22, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,73,"{'cx': 50, 'rz': 24, 'measure': 23, 'sx': 17, 'x': 1, 'barrier': 1}",127,26,"{'measure': 23, 'cx': 22, 'rz': 2, 'sx': 1, 'barrier': 1}",3564.3210229486504
59,qftentangled,32,67,"{'cp': 496, 'h': 33, 'measure': 32, 'cx': 31, 'swap': 16, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,925,"{'cx': 2336, 'rz': 1981, 'sx': 705, 'x': 79, 'measure': 32, 'barrier': 1}",3564.377998060431
59,qftentangled,31,65,"{'cp': 465, 'h': 32, 'measure': 31, 'cx': 30, 'swap': 15, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,975,"{'cx': 2218, 'rz': 1853, 'sx': 672, 'x': 67, 'measure': 31, 'barrier': 1}",3564.9192071346006
59,ae,50,294,"{'cp': 1176, 'cx': 98, 'u': 50, 'measure': 50, 'u2': 49, 'u3': 49, 'h': 49, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1454,"{'cx': 4745, 'rz': 3966, 'sx': 1461, 'x': 66, 'measure': 50, 'barrier': 1}",3565.998368827525
59,qpeexact,17,50,"{'cp': 136, 'h': 32, 'measure': 16, 'swap': 8, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,517,"{'cx': 729, 'rz': 580, 'sx': 172, 'x': 27, 'measure': 16, 'barrier': 1}",127,553,"{'cx': 760, 'rz': 532, 'sx': 138, 'x': 23, 'measure': 16, 'barrier': 1}",3570.9913932680906
59,qftentangled,3,9,"{'h': 4, 'cp': 3, 'measure': 3, 'cx': 2, 'swap': 1, 'barrier': 1}",7,29,"{'cx': 14, 'rz': 12, 'sx': 4, 'measure': 3, 'barrier': 1}",16,29,"{'cx': 14, 'rz': 12, 'sx': 4, 'measure': 3, 'barrier': 1}",27,29,"{'cx': 14, 'rz': 12, 'sx': 4, 'measure': 3, 'barrier': 1}",127,29,"{'cx': 14, 'rz': 12, 'sx': 4, 'measure': 3, 'barrier': 1}",3571.0389975999465
59,qft,30,61,"{'cp': 435, 'h': 30, 'measure': 30, 'swap': 15, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,707,"{'cx': 1950, 'rz': 1922, 'sx': 830, 'x': 74, 'measure': 30, 'barrier': 1}",3571.099684387752
59,dj,20,22,"{'u2': 21, 'cx': 19, 'measure': 19, 'h': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},27,81,"{'rz': 79, 'cx': 45, 'sx': 42, 'measure': 19, 'x': 3, 'barrier': 1}",127,75,"{'rz': 72, 'cx': 46, 'sx': 41, 'measure': 19, 'x': 2, 'barrier': 1}",3571.6363862078288
59,random,30,312,"{'cx': 542, 'u2': 282, 'cu1': 175, 'u1': 162, 'h': 151, 'u3': 102, 'ry': 98, 'rx': 49, 'ccx': 45, 'cu3': 38, 'rzz': 33, 's': 32, 'measure': 30, 'crz': 29, 'cy': 26, 'tdg': 26, 'ch': 24, 't': 23, 'sx': 22, 'rz': 20, 'swap': 18, 'crx': 17, 'cry': 16, 'x': 16, 'cp': 15, 'cz': 15, 'cswap': 14, 'rxx': 13, 'p': 12, 'sxdg': 9, 'z': 8, 'y': 7, 'u': 6, 'sdg': 5, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2956,"{'cx': 7577, 'rz': 3792, 'sx': 1841, 'x': 192, 'measure': 30, 'barrier': 1}",3571.9898065040834
59,su2random,31,126,"{'cx': 1395, 'u3': 124, 'measure': 31, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,888,"{'cx': 3951, 'rz': 1477, 'sx': 961, 'x': 102, 'measure': 31, 'barrier': 1}",3572.6679469089095
59,qftentangled,43,89,"{'cp': 903, 'h': 44, 'measure': 43, 'cx': 42, 'swap': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1319,"{'cx': 4333, 'rz': 2804, 'sx': 642, 'x': 73, 'measure': 43, 'barrier': 1}",3573.96997701351
59,su2random,6,26,"{'cx': 45, 'u3': 24, 'measure': 6, 'barrier': 1}",7,110,"{'cx': 94, 'rz': 79, 'sx': 66, 'measure': 6, 'x': 3, 'barrier': 1}",16,119,"{'cx': 106, 'rz': 58, 'sx': 54, 'measure': 6, 'barrier': 1}",27,110,"{'rz': 101, 'cx': 86, 'sx': 80, 'measure': 6, 'barrier': 1}",127,103,"{'rz': 99, 'cx': 82, 'sx': 76, 'measure': 6, 'x': 4, 'barrier': 1}",3574.3850737223897
59,realamprandom,3,14,"{'ry': 12, 'cx': 9, 'measure': 3, 'barrier': 1}",7,43,"{'rz': 26, 'sx': 25, 'cx': 17, 'measure': 3, 'x': 1, 'barrier': 1}",16,42,"{'rz': 29, 'sx': 27, 'cx': 17, 'measure': 3, 'barrier': 1}",27,42,"{'rz': 28, 'sx': 25, 'cx': 17, 'measure': 3, 'x': 1, 'barrier': 1}",127,42,"{'rz': 29, 'sx': 27, 'cx': 17, 'measure': 3, 'barrier': 1}",3574.3888437655264
59,qpeinexact,16,47,"{'cp': 120, 'h': 30, 'measure': 15, 'swap': 7, 'x': 1, 'barrier': 1}",-1,-1,{},16,489,"{'cx': 652, 'rz': 506, 'sx': 152, 'x': 16, 'measure': 15, 'barrier': 1}",27,502,"{'cx': 636, 'rz': 503, 'sx': 147, 'x': 24, 'measure': 15, 'barrier': 1}",127,503,"{'cx': 587, 'rz': 494, 'sx': 142, 'x': 22, 'measure': 15, 'barrier': 1}",3575.5140142617174
59,random,4,28,"{'cx': 12, 'u2': 10, 'ry': 6, 'u1': 4, 'u3': 4, 'measure': 4, 'h': 2, 'tdg': 1, 't': 1, 'ccx': 1, 'rzz': 1, 'rx': 1, 'crx': 1, 'cu1': 1, 'cu3': 1, 'barrier': 1}",7,81,"{'rz': 65, 'sx': 37, 'cx': 35, 'x': 4, 'measure': 4, 'barrier': 1}",16,80,"{'rz': 65, 'sx': 37, 'cx': 35, 'x': 5, 'measure': 4, 'barrier': 1}",27,81,"{'rz': 65, 'sx': 37, 'cx': 35, 'x': 4, 'measure': 4, 'barrier': 1}",127,80,"{'rz': 65, 'sx': 37, 'cx': 35, 'x': 5, 'measure': 4, 'barrier': 1}",3575.5900912132656
59,realamprandom,35,142,"{'cx': 1785, 'ry': 140, 'measure': 35, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1533,"{'cx': 5485, 'rz': 2392, 'sx': 1519, 'x': 114, 'measure': 35, 'barrier': 1}",3576.4364608494175
59,qnn,29,285,"{'cx': 1652, 'p': 812, 'u2': 58, 'ry': 58, 'measure': 29, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,961,"{'cx': 3340, 'rz': 2512, 'sx': 1149, 'x': 149, 'measure': 29, 'barrier': 1}",3578.1308973353075
59,qpeinexact,21,62,"{'cp': 210, 'h': 40, 'measure': 20, 'swap': 10, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,746,"{'cx': 1141, 'rz': 923, 'sx': 323, 'x': 28, 'measure': 20, 'barrier': 1}",127,764,"{'cx': 1212, 'rz': 763, 'sx': 174, 'x': 28, 'measure': 20, 'barrier': 1}",3578.3417374833325
59,random,11,92,"{'cx': 79, 'u2': 36, 'h': 28, 'u1': 22, 'cu1': 21, 'ry': 15, 'u3': 14, 'measure': 11, 'tdg': 7, 't': 7, 'cu3': 6, 'rx': 5, 'swap': 4, 's': 4, 'crx': 4, 'ccx': 4, 'cswap': 4, 'crz': 3, 'sx': 2, 'x': 2, 'y': 2, 'rzz': 2, 'rz': 1, 'cry': 1, 'sxdg': 1, 'sdg': 1, 'cy': 1, 'u': 1, 'cz': 1, 'cp': 1, 'barrier': 1}",-1,-1,{},16,375,"{'cx': 496, 'rz': 442, 'sx': 218, 'x': 20, 'measure': 11, 'barrier': 1}",27,510,"{'cx': 495, 'rz': 458, 'sx': 230, 'x': 32, 'measure': 11, 'barrier': 1}",127,375,"{'cx': 509, 'rz': 441, 'sx': 214, 'x': 24, 'measure': 11, 'barrier': 1}",3579.417125649312
59,twolocalrandom,13,54,"{'cx': 234, 'ry': 52, 'measure': 13, 'barrier': 1}",-1,-1,{},16,508,"{'cx': 904, 'rz': 291, 'sx': 215, 'measure': 13, 'x': 7, 'barrier': 1}",27,464,"{'cx': 758, 'rz': 334, 'sx': 246, 'x': 16, 'measure': 13, 'barrier': 1}",127,398,"{'cx': 749, 'rz': 223, 'sx': 179, 'measure': 13, 'x': 9, 'barrier': 1}",3582.046565638528
59,qnn,30,295,"{'cx': 1769, 'p': 870, 'u2': 60, 'ry': 60, 'measure': 30, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,917,"{'cx': 3634, 'rz': 2642, 'sx': 1327, 'x': 73, 'measure': 30, 'barrier': 1}",3582.208777919622
59,random,25,266,"{'cx': 369, 'u2': 183, 'cu1': 119, 'u1': 116, 'h': 102, 'u3': 93, 'ry': 80, 'rx': 35, 'ccx': 28, 'cu3': 27, 'measure': 25, 's': 24, 'rzz': 22, 'tdg': 20, 't': 18, 'cp': 18, 'cry': 17, 'cy': 16, 'sx': 15, 'crx': 15, 'swap': 14, 'ch': 12, 'rxx': 12, 'crz': 12, 'x': 11, 'rz': 11, 'cswap': 10, 'u': 7, 'p': 7, 'cz': 7, 'sdg': 6, 'sxdg': 4, 'z': 3, 'y': 3, 'barrier': 1}",-1,-1,{},-1,-1,{},27,2106,"{'cx': 4413, 'rz': 2610, 'sx': 1263, 'x': 131, 'measure': 25, 'barrier': 1}",127,2150,"{'cx': 4566, 'rz': 2646, 'sx': 1294, 'x': 142, 'measure': 25, 'barrier': 1}",3584.0191576883867
59,qft,36,73,"{'cp': 630, 'h': 36, 'measure': 36, 'swap': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1039,"{'cx': 3047, 'rz': 2053, 'sx': 516, 'x': 86, 'measure': 36, 'barrier': 1}",3584.239778667781
59,qpeinexact,27,80,"{'cp': 351, 'h': 52, 'measure': 26, 'swap': 13, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,920,"{'cx': 1853, 'rz': 1293, 'sx': 343, 'x': 49, 'measure': 26, 'barrier': 1}",127,938,"{'cx': 2032, 'rz': 1194, 'sx': 267, 'x': 41, 'measure': 26, 'barrier': 1}",3587.6442180070794
59,ae,43,252,"{'cp': 861, 'cx': 84, 'u': 43, 'measure': 43, 'u2': 42, 'u3': 42, 'h': 42, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1770,"{'cx': 3863, 'rz': 2910, 'sx': 903, 'x': 98, 'measure': 43, 'barrier': 1}",3587.807862284398
59,qnn,16,155,"{'cx': 495, 'p': 240, 'u2': 32, 'ry': 32, 'measure': 16, 'barrier': 1}",-1,-1,{},16,576,"{'cx': 1008, 'rz': 643, 'sx': 247, 'x': 52, 'measure': 16, 'barrier': 1}",27,431,"{'cx': 1106, 'rz': 371, 'sx': 100, 'measure': 16, 'barrier': 1}",127,478,"{'cx': 1015, 'rz': 752, 'sx': 371, 'x': 26, 'measure': 16, 'barrier': 1}",3588.1287474609676
59,su2random,43,174,"{'cx': 2709, 'u3': 172, 'measure': 43, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1437,"{'cx': 8183, 'rz': 2834, 'sx': 1764, 'x': 198, 'measure': 43, 'barrier': 1}",3589.0085233630134
59,qpeinexact,22,65,"{'cp': 231, 'h': 42, 'measure': 21, 'swap': 10, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,839,"{'cx': 1273, 'rz': 907, 'sx': 249, 'x': 33, 'measure': 21, 'barrier': 1}",127,787,"{'cx': 1289, 'rz': 982, 'sx': 285, 'x': 43, 'measure': 21, 'barrier': 1}",3591.92189506916
59,qpeinexact,33,98,"{'cp': 528, 'h': 64, 'measure': 32, 'swap': 16, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1053,"{'cx': 2644, 'rz': 2192, 'sx': 796, 'x': 77, 'measure': 32, 'barrier': 1}",3594.0538573288504
59,qnn,10,95,"{'cx': 189, 'p': 90, 'u2': 20, 'ry': 20, 'measure': 10, 'barrier': 1}",-1,-1,{},16,297,"{'cx': 381, 'rz': 286, 'sx': 137, 'x': 13, 'measure': 10, 'barrier': 1}",27,284,"{'cx': 400, 'rz': 231, 'sx': 106, 'measure': 10, 'x': 8, 'barrier': 1}",127,324,"{'cx': 393, 'rz': 247, 'sx': 109, 'x': 10, 'measure': 10, 'barrier': 1}",3595.8844963142806
59,ghz,34,35,"{'measure': 34, 'cx': 33, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,37,"{'measure': 34, 'cx': 33, 'rz': 2, 'sx': 1, 'barrier': 1}",3596.261752562265
59,dj,9,11,"{'u2': 11, 'cx': 8, 'measure': 8, 'h': 6, 'barrier': 1}",-1,-1,{},16,36,"{'rz': 32, 'cx': 19, 'sx': 18, 'measure': 8, 'x': 1, 'barrier': 1}",27,32,"{'rz': 31, 'sx': 18, 'cx': 18, 'measure': 8, 'x': 1, 'barrier': 1}",127,29,"{'rz': 30, 'sx': 18, 'cx': 16, 'measure': 8, 'x': 2, 'barrier': 1}",3596.277508622492
59,qftentangled,26,55,"{'cp': 325, 'h': 27, 'measure': 26, 'cx': 25, 'swap': 13, 'barrier': 1}",-1,-1,{},-1,-1,{},27,756,"{'cx': 1547, 'rz': 1216, 'sx': 451, 'x': 51, 'measure': 26, 'barrier': 1}",127,511,"{'cx': 1727, 'rz': 938, 'sx': 51, 'measure': 26, 'x': 5, 'barrier': 1}",3597.0436511080557
59,twolocalrandom,45,182,"{'cx': 2970, 'ry': 180, 'measure': 45, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1544,"{'cx': 8237, 'rz': 3214, 'sx': 1968, 'x': 201, 'measure': 45, 'barrier': 1}",3597.1144730456053
59,ae,47,276,"{'cp': 1035, 'cx': 92, 'u': 47, 'measure': 47, 'u2': 46, 'u3': 46, 'h': 46, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1922,"{'cx': 4432, 'rz': 4377, 'sx': 1773, 'x': 117, 'measure': 47, 'barrier': 1}",3597.1547744292434
59,ae,24,138,"{'cp': 253, 'cx': 46, 'u': 24, 'measure': 24, 'u2': 23, 'u3': 23, 'h': 23, 'barrier': 1}",-1,-1,{},-1,-1,{},27,784,"{'cx': 1200, 'rz': 1092, 'sx': 365, 'x': 35, 'measure': 24, 'barrier': 1}",127,872,"{'cx': 1205, 'rz': 1032, 'sx': 338, 'x': 36, 'measure': 24, 'barrier': 1}",3598.144654055126
59,qft,23,47,"{'cp': 253, 'h': 23, 'measure': 23, 'swap': 11, 'barrier': 1}",-1,-1,{},-1,-1,{},27,542,"{'cx': 1235, 'rz': 936, 'sx': 287, 'x': 42, 'measure': 23, 'barrier': 1}",127,518,"{'rz': 1213, 'cx': 1046, 'sx': 557, 'x': 53, 'measure': 23, 'barrier': 1}",3598.248802514285
59,ae,17,96,"{'cp': 120, 'cx': 32, 'u': 17, 'measure': 17, 'u2': 16, 'u3': 16, 'h': 16, 'barrier': 1}",-1,-1,{},-1,-1,{},27,549,"{'rz': 606, 'cx': 573, 'sx': 234, 'x': 21, 'measure': 17, 'barrier': 1}",127,544,"{'rz': 619, 'cx': 536, 'sx': 259, 'x': 17, 'measure': 17, 'barrier': 1}",3598.4879173038175
59,qftentangled,41,85,"{'cp': 820, 'h': 42, 'measure': 41, 'cx': 40, 'swap': 20, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1393,"{'cx': 3724, 'rz': 2994, 'sx': 1114, 'x': 104, 'measure': 41, 'barrier': 1}",3599.3787394276624
60,qft,28,57,"{'cp': 378, 'h': 28, 'measure': 28, 'swap': 14, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,873,"{'cx': 1854, 'rz': 1370, 'sx': 394, 'x': 56, 'measure': 28, 'barrier': 1}",3600.299434920528
60,su2random,44,178,"{'cx': 2838, 'u3': 176, 'measure': 44, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1781,"{'cx': 9048, 'rz': 4085, 'sx': 2614, 'x': 224, 'measure': 44, 'barrier': 1}",3600.5515828192606
60,qftentangled,14,31,"{'cp': 91, 'h': 15, 'measure': 14, 'cx': 13, 'swap': 7, 'barrier': 1}",-1,-1,{},16,317,"{'cx': 452, 'rz': 401, 'sx': 155, 'x': 22, 'measure': 14, 'barrier': 1}",27,351,"{'cx': 473, 'rz': 361, 'sx': 121, 'x': 23, 'measure': 14, 'barrier': 1}",127,332,"{'cx': 458, 'rz': 402, 'sx': 155, 'x': 21, 'measure': 14, 'barrier': 1}",3601.5732006287767
60,qft,14,29,"{'cp': 91, 'h': 14, 'measure': 14, 'swap': 7, 'barrier': 1}",-1,-1,{},16,281,"{'cx': 441, 'rz': 378, 'sx': 126, 'x': 18, 'measure': 14, 'barrier': 1}",27,328,"{'cx': 455, 'rz': 361, 'sx': 110, 'x': 20, 'measure': 14, 'barrier': 1}",127,299,"{'cx': 449, 'rz': 328, 'sx': 86, 'x': 20, 'measure': 14, 'barrier': 1}",3602.7804294105204
